a / an | =
true-hearted / truer-~ | ˈtru:-ˌɐ:ɹtɪd, -ˌhɐ:- / ˈtru:ǝɹ-
true-love | ˈtru:-ˌlɤv
true-meant | =
truepenny | ˈtru:ˌpenǝɪ
truie | trwi
trull / ~s | trɤl / -z
truly | ˈtru:lǝɪ
trump | trɤmp
trumpery | ˈtrɤmprǝɪ, -pǝr-
trumpet | ˈtrɤmpɪt
trumpet / ~’s / ~s / ~s’ | ˈtrɤmpɪt / -s
trumpeter / ~s | ˈtrɤmpɪtǝɹ / -z
trumpet-tongued | ˈtrɤmpɪt-ˌtɒŋd, -ˌtʊ-
trunchion / ~’s | ˈtrɤnʃɪǝn / -z
trunchion | ˈtrɤnʃɪǝn
trunchioner / ~s | ˈtrɤnʃɪǝnǝɹz
trundle-tail | ˈtrɤndl-ˌtɛ:l
trunk | trɤŋk
trunk / ~s | trɤŋk / -s
trunk-inheriting | ˈtrɤŋk-ɪnˌerɪtɪn, -ɪŋ, -ˌhe-
trunk-work | ˈtrɤŋk-ˌwɔ:ɹk
truss / ~ed | trɤst
trust | trɤst
trust / ~s / ~ing / ~ed | trɤst / -s / ˈtrɤst·ɪn, -ɪŋ / -ɪd
truster / ~s’ | ˈtrɤstǝɹ / -z
trusting | ˈtrɤstɪn, -ɪŋ
trusty | ˈtrɤstǝɪ
truth / ~’s / ~s | =
try | trǝɪ
tr·y / ~ied | trǝɪ / -d
trying | ˈtrǝɪɪn, -ɪŋ
tu
- tu | ty
- te | tǝ
- ton | tɔ̃
- ti |  ti:
- tu | tu:
- teipsum | teˈɪpsʊm
- tuae | ˈtu:e
tub / ~s | tɤb / -z
Tubal | ˈtju:bɑl
tuck | tɤk
tucket | ˈtɤkɪt
Tuesday | ˈtju:zdɛ:, ˈtu:-
tuft / ~s | tɤft / -s
tug / ~ging / ~ged | tɤg / ˈtɤgɪn, -ɪŋ / tɤgd
tuition | tju:ˈɪsɪǝn
Tullus / ~s’ | ˈtɤlǝs
Tully / ~’s | ˈtɤlǝɪ / -z
tumbl·e / ~est / ~es / ~ing / ~ed | ˈtɤmbǝl / -st, -blǝst / -z / -blɪn, -ɪŋ / -d
tumbler / ~’s | ˈtɤmblǝɹz
tumbling | ˈtɤmblɪn, -ɪŋ
tumult | ˈtju:mǝlt
tumultuous | tjʊˈmɤltɪǝs
tun / ~s | tɤn / -z
tun-dish | ˈtɤn-ˌdɪʃ
tune / ~s | tju:n / -z
tun·e / ~ing / ~ed | tju:n / ˈtju:nɪn, -ɪŋ / tju:nd
tuneable | ˈtju:nǝbǝl
tuned | m ˈtju:nɪd
tuner / ~s | ˈtju:nǝɹ / -z
Tunis | ˈtju:nɪs
tup / ~ping | ˈtɤpɪn, -ɪŋ
turban / ~s | ˈtɐ:ɹbǝnz
turbanned | ˈtɐ:ɹbǝnd
turbulence | m ˈtɐ:ɹbǝˌlens
turbulent | m ˈtɐ:ɹbǝˌlent, -ǝlǝnt, -blǝnt
turf | tɐ:ɹf
turfy | ˈtɐ:ɹfǝɪ
Turk / ~’s / ~s | tɐ:ɹk / -s
turkey / ~s | ˈtɐ:ɹkǝɪz
Turkey [name] | ˈtɐ:ɹkǝɪ
Turkish | ˈtɐ:ɹkɪʃ
turky-cock / ~s | ˈtɐ:ɹkǝɪ-ˌkɒk / -s
Turlygod | ˈtɐ:ɹlǝɪ-ˌgɒd
turmoil | ˈtɐ:ɹmǝɪl
turmoil / ~ed | m tǝɹˈmǝɪlɪd
turn / ~s | tɐ:ɹn / -z
turn / ~est / ~s / ~eth / ~ing / ~ed | tɐ:ɹn / -s, -st / -z / ˈtɐ:ɹn·ǝɵ / -ɪn, -ɪŋ / m -ɪd, tɐ:ɹnd
Turnbull | ˈtɐ:ɹnbʊl
turncoat / ~s | ˈtɐ:ɹnko:t / -s
turning | ˈtɐ:ɹnɪn, -ɪŋ
turning-up | ˈtɐ:ɹnɪn-ˈɤp, -ɪŋ-
turnip / ~s | ˈtɐ:ɹnɪps
Turph [name] | tɐ:ɹf
turpitude | m ˈtɐ:ɹpɪˌtju:d
turquoise | ˈtɐ:ɹkǝɪz
turret / ~’s / ~s | ˈtɤrǝt / -s
turtle / ~s | ˈtɐ:ɹtl / -z
turtle-dove / ~s | ˈtɐ:ɹtl-ˈdɤvz
Tuscan | ˈtɤskǝn
tush | tɤʃ
tut | tɤt, t [click]
tutor / ~s | ˈtju:tǝɹ / -z
tutor / ~s / ~ed | ˈtju:tǝɹ / -z / -d
tutt·o / ~i | ˈtʊtti:
tu-whit tu-whoo | tu:-ˈʍɪt tu:-ˈhu:
twain | twɛ:n
twang / ~ed | =
twangling | ˈtwaŋglɪn, -ɪŋ
tweak | =
twelfth | twelf, -t
twelve | =
twelve | =
twelvemonth | ˈtwelvmɤnɵ
twelvemonth / ~’s | ˈtwelvmɤnɵ / -s
twentieth | ˈtwentǝɪǝt
twenty | ˈtwentǝɪ
twenty | ˈtwentǝɪ
twenty-nine | m ˈtwentǝɪ-ˌnǝɪn
twenty-seven | m ˌtwentǝɪ-ˈsɛ:n, -ˈsevn
twenty-six | m ˌtwentǝɪ-ˈsɪks
twenty-three | m ˈtwentǝɪ-ˌɵri:
twice | twǝɪs
twice-sod | ˈtwǝɪs-ˌsɒd
twice-told | ˈtwǝɪs-ˌto:ld
twig / ~s | =
twiggen-bottle | =
twilled | m ˈtwɪlɪd
twin | =
twin / ~s | =
twin / ~ned | =
twin-born | m ˌtwɪn-ˈbɔ:ɹn
twine | twǝɪn
twink | =
twinkl·e / ~ing / ~ed | = / ˈtwɪŋklɪn, -ɪŋ / =
twinkling | ˈtwɪŋklɪn, -ɪŋ
twinned | =
twist | =
twist / ~ed | =
twisted | =
twit / ~s / ~ting | = / = / ˈtwɪtɪn, -ɪŋ
two | =
two / ~s | =, Macmorris H5 3.2.115 twɛ: / =
twofold | ˈtu:ˌfo:ld
two-hand | ˈtu:-ˌand, -ˌha-
two-headed | m ˌtu:-ˈedɪd, -ˌhe-
two-legged | ˈtu:-ˌlegd
twopence / ~s | ˈtɤpǝns / -ɪz
Tybalt / ~’s / ~s | ˈtɪbɑlt / -s
Tyburn | ˈtǝɪbɐ:ɹn
tyke | tǝɪk
type / ~s | tǝɪp / -s
Typhon / ~’s | ˈtǝɪfǝn / -z
tyrannical | tɪˈranɪkɑl
tyrannically | tɪˈranɪklǝɪ
tyrannize | m ˈtɪrǝˌnǝɪz
tyrannous | m ˈtɪrǝnǝs, -ǝˌnɤs
tyranny | m ˈtɪrǝnǝɪ, -ǝˌnǝɪ
tyrant | ˈtǝɪrǝnt
tyrant / ~’s / ~s | ˈtǝɪrǝnt / -s
Tyre Per | tǝɪɹ
Tyrian | ˈtɪrɪǝn
Tyrrel | ˈtɪrǝl
   U [letter] / ~s | =
ubique | u:ˈbi:kwe, -ke
udders | ˈɤdǝɹz
uglier | ˈɤglǝɪǝɹ
ugl·y / ~iest | ˈɤglǝɪ / -ǝst
ugl·y / ~ier | ˈɤglǝɪ / -ǝɹ
ulcer | ˈɤlsǝɹ
ulcerous | ˈɤlsrǝs, -sǝr-
Ulysses | ju:ˈlɪsi:z
umber | ˈɤmbǝɹ
umbered | ˈɤmbǝɹd
umbra | ˈʊmbra
Umfrevile | ˈɤmfrǝvɪl
umpire / ~s | ˈɤmpi:ɹ / -z
un / ~e | œ̃ / yn
unable | ɤnˈɛ:bǝl
unaccommodated | m ˌɤnǝˈkɒmǝˌdɛ:tɪd
unaccompanied | m ˌɤnǝˈkɒmpǝˌnǝɪd
unaccustomed | ˌɤnǝˈkɤstǝmd
unaching | ɤnˈɛ:kɪn, -ɪŋ
unacquainted | ˌɤnǝˈkwɛ:ntɪd
unacted | ɤnˈaktɪd
unactive | ɤnˈaktɪv
unadvised | ˌɤnǝdˈvǝɪzd
unadvisedly | m ˌɤnǝdˈvǝɪzɪdˌlǝɪ
unagreeable | ˌɤnǝˈgri:ǝbǝl
unaneled | ˌɤnǝˈneld
unanswered | ɤnˈansǝɹd, -ˈɔ:n-
unappease / ~d | ˌɤnǝˈpi:zd
unapt | ɤnˈapt
unaptness | ɤnˈaptnǝs
unarm / ~ed | ɤnˈɑ:ɹm / m -d, -ɪd
unassailable | m ˌɤnǝˈsɛ:lǝˌbɤl
unassailed | ˌɤnǝˈsɛ:ld
unattainted | ˌɤnǝˈtɛ:ntɪd
unattempted | ˌɤnǝˈtemtɪd, -mpt-
unattended | ˌɤnǝˈtendɪd
unauspicious | m ˈɤnɒˌspɪsɪǝs
unauthorized | m ˌɤnɔ:ˈtɒrǝɪzd
unavoided | ˌɤnǝˈvǝɪdɪd
unaware / ~s | ˌɤnǝˈwɛ:ɹ / -z
unbacked | m ˈɤnbakt
unbaked | ɤnˈbɛ:kd
unbanded | ɤnˈbandɪd
unbar | ɤnˈbɑ:ɹ
unbarbed | ˈɤnbɑ:ɹbd, m emend ɤnˈbɑ:ɹbɪd
unbashful | ɤnˈbaʃfʊl
unbated | ɤnˈbɛ:tɪd
unbattered | ɤnˈbatǝɹd
unbecoming | ˌɤnbɪˈkɤmɪn, -ɪŋ
unbefitting | ˌɤnbɪˈfɪtɪn, -ɪŋ
unbegot / ~ten | ˌɤnbɪˈgɒt / -tǝn
unbelieved | m ˌɤnbɪˈli:vɪd
unben·d / ~t | ɤnˈben·d / -t
unbewailed | ˌɤnbɪˈwɛ:ld
unbid / ~den | m ˈɤnbɪd / ɤnˈbɪdǝn
unbind | ɤnˈbǝɪnd
unbitted | ɤnˈbɪtɪd
unblessed | ɤnˈblest
unbloodied | ɤnˈblɤdǝɪd
unblowed | ˈɤnblo:d
unbodied | ɤnˈbɒdǝɪd
unbolt | ɤnˈbo:lt
unbolted | ɤnˈbo:ltɪd
unbonnetted | ɤnˈbɒnɪtɪd
unbookish | ɤnˈbʊkɪʃ
unborn | ɤnˈbɔ:ɹn
unbosom | ɤnˈbʊzǝm
unbound | m ˈɤnbǝʊnd
unbounded | ɤnˈbǝʊndɪd
unbowed | m ɤnˈbǝʊɪd, -ˈbǝʊd
unbraced | m ɤnˈbrɛ:st, -sɪd
unbraided | ɤnˈbrɛ:dɪd
unbreathed | m ˈɤnbreɵt, -ri:ðd
unbred | ɤnˈbred
unbreeched | ɤnˈbri:tʃt
unbridled | ɤnˈbrǝɪdld
unbroke | ɤnˈbro:k
unbruised | m ɤnˈbru:zd, -zɪd
unbuckl·e / ~es / ~ing | ɤnˈbɤk·ǝl / -ǝlz / -lɪn, -lɪŋ
unbuild | ɤnˈbɪld
unburied | ɤnˈberǝɪd
unburnt | ɤnˈbɐ:ɹnt
unburthen / ~s / ~ed | ɤnˈbɐ:ɹðǝn, -dǝn / -z / -d
unbutton / ~ing | ɤnˈbɤtǝn / -ɪn, -ɪŋ, -tn-
unbuttoned | ɤnˈbɤtǝnd
uncapable | m ɤnˈkɛ:pǝˌbɤl
uncas·e / ~ing | ɤnˈkɛ:s / -ɪn, -ɪŋ
uncaught | ɤnˈkɔ:t
uncertain | ɤnˈsɐ:ɹtǝn
uncertainly Luc | m ɤnˈsɐ:ɹtǝnˌlǝɪ
uncertainty | m ɤnˈsɐ:ɹtǝnˌtǝɪ
unchain | ɤnˈtʃɛ:n
unchanging | ɤnˈtʃɛ:ndʒɪn, -ɪŋ
uncharge | ɤnˈtʃɑ:ɹdʒ
uncharged | m ɤnˈtʃɑ:ɹdʒɪd
uncharitably | m ɤnˈtʃarɪˌtablǝɪ
uncharmed | ɤnˈtʃɑ:ɹmd
unchary | ɤnˈtʃarǝɪ
unchaste | m ɤnˈtʃast, ˈɤntʃast
unchecked | ɤnˈtʃekt
unchild / ~ed | ɤnˈtʃǝɪldɪd
uncivil | ɤnˈsɪvɪl
unclaim / ~ed | ɤnˈklɛ:md
unclasp / ~ed | ɤnˈklasp / -t
uncle / ~’s / ~s | ˈɤŋkǝl / -z
uncle | ˈɤŋkǝl
unclean | ɤnˈkli:n
uncleanliness | ɤnˈklenlɪnǝs
uncleanly | ɤnˈklenlǝɪ
uncleanness | ɤnˈklenǝs
unclew | ɤnˈklu:
unclog | ɤnˈklɒg
uncoined | m ˈɤnkǝɪnd, ɤnˈkǝɪnd
uncolted | m ˈɤnko:ltɪd
uncomeliness | ɤnˈkɤmlɪnǝs
uncomfortable | m ɤnˈkɤmfǝɹˌtabǝl
uncompassionate | ˌɤnkǝmˈpasɪǝnǝt
uncomprehensive | ɤnˌkɒmprɪˈensɪv, -ˈhe-
unconfinable | ˌɤnkǝnˈfǝɪnǝbǝl
unconfirmed | ˌɤnkǝnˈfɐ:ɹmd
unconquered | ɤnˈkɒŋkǝɹd, m Luc ɤnˈkɒŋkǝˌred
unconsidered | ˌɤnkǝnˈsɪdǝɹd
unconstant | ɤnˈkɒnstǝnt
unconstrained | m ˌɤnkǝnˈstrɛ:nd, -nɪd
uncontemned | ˌɤnkǝnˈtemd
uncontrolled | ˌɤnkǝnˈtro:ld
uncorrected | ˌɤnkǝˈrektɪd
uncounted | ɤnˈkǝʊntɪd
uncouple | ɤnˈkɤpǝl
uncourteous | ɤnˈkɐ:ɹtǝs, -ɪǝs, -ˈkɔ:ɹ-
uncouth | ɤnˈku:ɵ
uncover / ~ed | ɤnˈkɤvǝɹ / -d
uncovered | ɤnˈkɤvǝɹd
uncropped | m ɤnˈkrɒpɪd
uncrossed | ɤnˈkrɒst
uncrown | ɤnˈkrǝʊn
unction | ˈɤŋksɪǝn
unctious | ˈɤŋksɪǝs
uncuckolded | ɤnˈkɤkǝldɪd
uncurable | ɤnˈkju:ɹǝbǝl
uncurbable | ɤnˈkɐ:ɹbǝbǝl
uncurbed | m ɤnˈkɐ:ɹbɪd
uncurl / ~s | ɤnˈkɐ:ɹlz
uncurrant | ɤnˈkɤɹǝnt
uncurse | ɤnˈkɐ:ɹs
undaunted | ɤnˈdɔ:ntɪd
undeaf | ɤnˈdef
undeck | ɤnˈdek
undeeded | ɤnˈdi:dɪd
under | ˈɤndǝɹ
under | ˈɤndǝɹ
under-bear / ~-borne | ˈɤndǝɹ-ˈbɛ:ɹ / -ˈbɔ:ɹn
under-bearing | ˈɤndǝɹ-ˈbɛ:rɪn, -ɪŋ
under-crest | ˈɤndǝɹ-ˈkrest
under-fiend / ~s | ˈɤndǝɹ-ˈfi:ndz, -ˈfen-
underfoot | ˈɤndǝɹ-ˈfʊt
underglobe | ˈɤndǝɹ-ˈglo:b
under·go / ~goes / ~went / ~gone | m ˈɤndǝɹˈgo:, -ɹgo: / -z / ˈɤndǝɹ-ˈwent / -ˈgɒn
undergoing | ˈɤndǝɹ-ˈgo:ɪn, -ɪŋ
underhand | m ˈɤndǝɹˌand, -ˌha-, -ɹa-
under-hangman | ˈɤndǝɹ-ˈaŋmǝn, -ˈha-
under-honest | ˈɤndǝɹ-ˈɒnɪst
underling / ~s | ˈɤndǝɹlɪŋz
undermine | m ˈɤndǝɹˈmǝɪn, -ɹm-
underminer / ~s | ˈɤndǝɹˈmǝɪnǝɹz
underneath | m ˌɤndǝɹˈni:ɵ / ˈɤndǝɹˌni:ɵ
under-peep | ˈɤndǝɹ-ˈpi:p
underpriz·e / ~ing | ˈɤndǝɹ-ˈprɛ:zɪn, -ɪŋ
under-prop | ˈɤndǝɹ-ˈprɒp
underskinker | ˈɤndǝɹˌskɪŋkǝɹ
understand / ~eth / ~s / ~eth / ~ing / understood | ˌɤndǝɹˈstand / -nst, -ndst / -dz / -ǝɵ / -ɪn, -ɪŋ / ˌɤndǝɹˈstʊd
understanding | ˌɤndǝɹˈstandɪn, -ɪŋ
understanding / ~s | ˌɤndǝɹˈstandɪn, -ɪŋ / -z
undertak·e / ~s / ~ing / under·took / ~ta’n | ˌɤndǝɹˈtɛ:k / -s / -ɪn, -ɪŋ / ˌɤndǝɹ·ˈtʊk / -tɛ:n
undertaking / ~s | ˌɤndǝɹˈtɛ:kɪn, -ɪŋ / -z
under·work, ~-wrought | ˈɤndǝˈrɔ:t
under·write / ~-writ | ˈɤndǝˈrɪt
undescried | ˈɤndɪˈskrǝɪd
undeserved | m ˈɤndɪˈzɐ:ɹvɪd, -vd
undeserver / ~s | ˈɤndɪˈzɐɹvǝɹ / -z
undeserving | ˈɤndɪˈzɐɹvɪn, -ɪŋ
undetermined | ˈɤndɪˈtɐ:ɹmɪnd
undinted | ɤnˈdɪntɪd
undiscernable | ˈɤndɪˈsɐ:ɹnǝbǝl
undiscovered | ˈɤndɪsˈkɤvǝɹd
undishonoured | m ˈɤndɪsˈɒnǝˌred
undisposed | ˈɤndɪˈspo:zd
undistinguishable | m ˈɤndɪˈstɪŋgwɪˌʃabǝl
undividable | m ˈɤndɪˈvǝɪdǝˌbɤl
undivulged | m ˈɤndɪˈvɤldʒd, -dʒɪd
un·do / ~does /~doing / ~did / ~done | ɤn·ˈdu: / -ˈdɤz / -ˈdu:ɪn, -ɪŋ / -ˈdɪd / -ˈdɤn
undoing | ɤnˈdu:ɪn, -ɪŋ
undone | ɤnˈdɤn
undoubted | ɤnˈdǝʊtɪd
undoubtedly | m ɤnˈdǝʊtɪdˌlǝɪ
undoubtful | ɤnˈdǝʊtfʊl
undreamed | ˈɤndri:md
undress | ɤnˈdres
undressed | ɤnˈdrest
undrowned | ɤnˈdrǝʊnd
unduteous | ɤnˈdju:tɪǝs
undutiful | ɤnˈdju:tɪfʊl
unearned | m ɤnˈɐ:ɹnɪd
unearthly | ɤnˈɐ:ɹɵlǝɪ
uneasiness | m ɤnˈi:zɪˌnes
uneasy | ɤnˈi:zǝɪ
uneducated | ɤnˈedjǝˌkɛ:tɪd
uneffectual | ˈɤnɪˈfektɪɑl
unelected | ˈɤnɪˈlektɪd
unequal | ɤnˈi:kwɑl
uneven | ɤnˈi:vǝn, -ˈev-
unexamined | m ˈɤnɪgˈzamɪnd
unexecuted | m ɤnˈeksɪˌkju:tɪd
unexpected | ˈɤnɪksˈpektɪd
unexperienced | ˈɤnɪksˈpi:rɪǝnst
unexpressive | ˈɤnɪksˈpresɪv
unfained | m ɤnˈfɛ:nɪd
unfainedly | m ɤnˈfɛ:nɪdˌlǝɪ
unfaithful | ɤnˈfɛ:ɵfʊl
unfallible | ɤnˈfalɪbǝl
unfamed | ɤnˈfɛ:md
unfashionable | m ɤnˈfaʃɪǝnˌabǝl
unfasten | ɤnˈfasǝn
unfathered | ɤnˈfaðǝɹd
unfed | ˈɤnfed
unfeed | ˈɤnfi:d
unfeeling | ɤnˈfi:lɪn, -ɪŋ
unfeigned | m ɤnˈfɛ:nɪd
unfeignedly | m ɤnˈfɛ:nɪdˌlǝɪ
unfelt | m ɤnˈfelt, ˈɤnfelt
unfenced | m ɤnˈfensɪd
unfilled | m ɤnˈfɪld, ˈɤnfɪld
unfilial | ɤnˈfɪlɪɑl
unfinished | ɤnˈfɪnɪʃt
unfirm | m ɤnˈfɐ:ɹm, ˈɤnfɐ:ɹm
unfit | ɤnˈfɪt
unfitness | ɤnˈfɪtnǝs
unfix | ɤnˈfɪks
unfledged | ɤnˈfledʒd
unfold / ~s /~eth / ~ed | ɤnˈfo:ld / -z / -ǝɵ / -ɪd
unfolding | ɤnˈfo:ldɪn, -ɪŋ
unfool | ɤnˈfʊl, -ˈfu:l
unforced | ɤnˈfɔ:ɹst
unforfeited | m ɤnˈfɔ:ɹfɪˌtɪd
unfortified | m ɤnˈfɔ:ɹtɪˌfǝɪd
unfortunate | m ɤnˈfɔ:ɹtnǝt, -tǝnˌɛ:t
unfought | ɤnˈfɔ:t
unfrequented | ˈɤnfrɪˈkwentɪd
unfriended | ɤnˈfrendɪd
unfurnish / ~ed | ɤnˈfɐ:ɹnɪʃ / -t
unfurnished | ɤnˈfɐ:ɹnɪʃt
ungained | ɤnˈgɛ:nd
ungalled | m ɤnˈgɑ:lɪd
ungartered | ɤnˈgɑ:ɹtǝɹd
ungenitured | ɤnˈdʒenɪtǝɹd
ungentle | ɤnˈdʒentl
ungentleness | m ɤnˈdʒentlˌnes
ungently | ɤnˈdʒentlǝɪ
ungird | ɤnˈgɐ:ɹd
ungodly | ɤnˈgɒdlǝɪ
ungorged | ɤnˈgɔ:ɹdʒd
ungot / ~ten | ɤnˈgɒt / -ǝn
ungoverned | ɤnˈgɤvǝɹnd
ungracious | ɤnˈgrɛ:sɪǝs
ungrateful | ɤnˈgrɛ:tfʊl
ungravely | ɤnˈgrɛ:vlǝɪ
ungrown | m ˈɤngro:n
unguarded | ɤnˈgɑ:ɹdɪd
unguem | ˈʊŋgwem
unguided | ɤnˈgǝɪdɪd
unhacked | ˈɤnˌakt, -ˌha-
unhair | ɤnˈɛ:ɹ, -ˈhɛ:ɹ
unhallowed | m ɤnˈɑlǝd, -lǝwɪd, -lo:d, -lo:ɪd, -ˈhɑ-
unhand | ɤnˈand, -ˈha-
unhandled | ɤnˈandld, -ˈha-
unhandsome | ɤnˈansǝm-, -ˈha-
unhanged | ɤnˈaŋd, -ˈha-
unhappily | m ɤnˈaplǝɪ, -pɪl-, -ɪˌlǝɪ, -ˈha-
unhappiness | m ɤnˈapɪˌnes, -ɪnǝs, -ˈha-
unhappy | ɤnˈapǝɪ, -ˈha-
unhapp·y / ~ied | ɤnˈapǝɪd, -ˈha-
unhardened | ɤnˈɑ:ɹdǝnd, ˈhɑ:-
unhatched | m ɤnˈatʃt, ˈɤnatʃt, -ˈha-
unheard | m ɤnˈɛ:ɹd, ˈɤnɛ:ɹd, -ˈhɛ:-, -ɑ:ɹd, -ˈhɑ:-
unheart / ~s | ɤnˈɑ:ɹts, -ˈhɑ:-
unheedful | ɤnˈi:dfʊl, -ˈhi:-
unheedfully | ɤnˈi:dflǝɪ, -fʊl-, -ˈhi:-
unheedy | ɤnˈi:dǝɪ, -ˈhi:-
unhelpful | ɤnˈelpfʊl, -ˈhe-
unhidden | ɤnˈɪdǝn, -ˈhɪ-
unholy | ɤnˈo:lǝɪ, ˈho:-
unhoped | ˈɤno:pd, -ho:-
unhopeful / ~est | ɤnˈo:pflǝst, -fʊl-, -ˈho:-
unhorse | ɤnˈɔ:ɹs, -ˈhɔ:-
unhospitable | m ɤnˈɒspɪˌtabǝl, -ˈhɒ-
unhoused | m ɤnˈǝʊzɪd, -ˈhǝʊ-
unhousled | ɤnˈǝʊzǝld, -ˈhǝʊ-
unhurtful | ɤnˈɐ:ɹtfʊl, -ˈhɐ:-
unicorn / ~s | ˈju:nɪkɔ:ɹn / -z
unimproved | m ˈɤnɪmˈprɤvɪd, -ru:v-
uninhabitable | ˈɤnɪnˈabɪtǝbǝl, -ˈha-
unintelligent | ˈɤnɪnˈtelɪdʒǝnt
union | ˈju:nɪǝn
unite | jʊˈnǝɪt
united | jʊˈnǝɪtɪd
unity | m ˈju:nɪtǝɪ, -ˌtǝɪ
universal | ˌju:nɪˈvɐ:ɹsɑl
universe | ˈju:nɪˌvɐ:ɹs
universit·y / ~ies | ˌju:nɪˈvɐ:ɹsɪtǝɪ / m -sɪˌtǝɪz
unjointed | ɤnˈdʒǝɪntɪd
unjust | m ɤnˈdʒɤst, ˈɤndʒɤst
unjustly | ɤnˈdʒɤstlǝɪ
unkennel | ɤnˈkenǝl
unkept | ɤnˈkept
unkind / ~est | m ɤnˈkǝɪnd, ˈɤnkǝɪnd / ɤnˈkǝɪndǝst
unkind | ɤnˈkǝɪnd
unkindly | ɤnˈkǝɪndlǝɪ
unkindness | ɤnˈkǝɪndnǝs
unking / ~ed | ɤnˈkɪŋd
unkinged | m ˈɤnkɪŋd
unkinglike | ɤnˈkɪŋlǝɪk
unkiss | ɤnˈkɪs
unkissed | ɤnˈkɪst
unknit | ɤnˈnɪt, -ˈkn-
unknowing | ɤnˈno:ɪn, -ɪŋ, ˈkn-
unknown | m ɤnˈno:n, ˈɤn-no:n, -kn-
unlace / ~d | ɤnˈlɛ:s / -t
unlaid | ɤnˈlɛ:d
unlawful | ɤnˈlɔ:fʊl
unlawfully | m ɤnˈlɔ:fʊˌlǝɪ, -fʊlǝɪ, -flǝɪ
unlearned | m ɤnˈlɐ:ɹnd, -nɪd
unless | ɤnˈles
unlessoned | ɤnˈlesǝnd
unlettered | ɤnˈletǝɹd
unlicked | ˈɤnlɪkt
unlike | ɤnˈlǝɪk
unlikely | ɤnˈlǝɪklǝɪ
unlimited | ɤnˈlɪmɪtɪd
unlineal | ɤnˈlɪnɪɑl
unlink / ~ed | ɤnˈlɪŋkt
unlived | ɤnˈlǝɪvd
unload / ~s / ~ing / ~ed | ɤnˈlo:d / -z / -ɪn, -ɪŋ / -ɪd
unlock | ɤnˈlɒk
unlocked | ɤnˈlɒkt
unlooked | ɤnˈlʊkt
unlooked-for | ɤnˈlʊkt-ˌfɔ:ɹ
unloose / ~d | ɤnˈlu:s / -t
unloved | ɤnˈlɤvd
unloving | ɤnˈlɤvɪn, -ɪŋ
unluckily | m ɤnˈlɤkɪˌlǝɪ, -ɪl-
unlucky | ɤnˈlɤkǝɪ
unmade | ˈɤnmɛ:d
unmake | ˈɤnmɛ:k
unmanly | ɤnˈmanlǝɪ
unmanned | ɤnˈmand
unmannered | ɤnˈmanǝɹd
unmannerly | m ɤnˈmanǝɹˌlǝɪ, -ɹl-
unmarried | ɤnˈmarǝɪd
unmask | ɤnˈmask
unmastered | ɤnˈmastǝɹd
unmatchable | m ɤnˈmatʃǝbǝl, -ˌbɤl
unmatched | m ɤnˈmatʃt, -tʃɪd
unmeasurable | m ɤnˈmezǝɹǝbǝl, -ˌbɤl
unmeet | ɤnˈmi:t
unmellowed | ɤnˈmelǝd, -lo:d
unmerciful | ɤnˈmɐ:ɹsɪfǝl
unmeritable | m ɤnˈmerɪˌtabǝl
unmeriting | ɤnˈmerɪtɪn, -ɪŋ
unminded | ɤnˈmǝɪndɪd
unmindful | ɤnˈmǝɪndfʊl
unmingled | ɤnˈmɪŋgǝld
unmitigable | m ɤnˈmɪtɪˌgabǝl
unmitigated | ɤnˈmɪtɪˌgɛ:tɪd
unmix / ~ed | ɤnˈmɪkst
unmoaned | ɤnˈmo:nd
unmoved | ɤnˈmɤvd, -ˈmu:vd
unmusical | m ɤnˈmju:zɪˌkɑl
unmuzzle | ɤnˈmɤzǝl
unmuzzled | ɤnˈmɤzǝld
unnatural | m ɤnˈnatrǝl, -tǝr-, -tǝˌrɑl
unnaturally | m ɤnˈnatrǝˌlǝɪ
unneath | ɤnˈi:ɵ
unnecessarily | m ɤnˌnesɪˈsarɪˌlǝɪ
unnecessary | m ɤnˈnesɪˌsarǝɪ, -ɪsrǝɪ
unneighbourly | m ɤnˈnɛ:bǝɹˌlǝɪ
unnerved | m ɤnˈnɐ:ɹvɪd
unnoble | ɤnˈno:bǝl
unnoted | ɤnˈno:tɪd
unnumbred | ɤnˈnɤmbǝɹd
unowed | m ˈɤno:d
unpack | ɤnˈpak
unpaid / ~-for | ɤnˈpɛ:d / -ˌfɔ:ɹ
unparagoned | m ɤnˈparǝˌgɒnd, -ǝgǝnd
unparalelled | m ɤnˈparǝˌleld
unpardonable | m ɤnˈpɑ:ɹdǝˌnabǝl
unpartial | ɤnˈpɑ:ɹsɪɑl
unpathed | m ˈɤnpaɵt
unpaved | m ˈɤnpɛ:vd
unpay / unpaid | ɤnˈpɛ: / -d
unpeaceable | ɤnˈpi:sǝbǝl, -ˈpɛ:s-
unpeg | ɤnˈpeg
unpeople | ɤnˈpi:pǝl
unpeopled | ɤnˈpi:pǝld
unperfectness | ɤnˈpɐ:ɹfɪtnǝs
unpicked | ɤnˈpɪkt
unpin | ɤnˈpɪn
unpinked | ɤnˈpɪŋkt
unpitied | ɤnˈpɪtǝɪd
unpitifully | ɤnˈpɪtɪflǝɪ, -fʊl-
unplagued | ɤnˈplɛ:gd
unplausive | ɤnˈplɔ:zɪv
unpleasant / ~est | ɤnˈplezǝnst, -ntst
unpleased | ɤnˈpli:zd
unpleasing | ɤnˈpli:zɪn, -ɪŋ
